track_id,track_name,artist_name,album_name,album_id,release_date,popularity,duration_ms,album_images,album_image_url,artist_ids,explicit,preview_url
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Comedy,41ERrwfzos93Xlf6hFBiDn,2022-04-08,63,230666,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0226573d555999566291e3b7a8', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485126573d555999566291e3b7a8', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,['1S2S00lgLYLGHWA44qGEUs'],False,
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),7eVgjZsbqcqTIAyYUpOJuR,2021-04-30,43,149610,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273935a71a0a54fac53488ea342', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02935a71a0a54fac53488ea342', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851935a71a0a54fac53488ea342', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273935a71a0a54fac53488ea342,['142VT1MtWzaD13CnOiKFDn'],False,
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,"Ingrid Michaelson, ZAYN",To Begin Again,5rrWBCnnYiFaT5EoyCeikd,2021-03-17,48,210826,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ed344bc4daeaf8de2d9333b3', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ed344bc4daeaf8de2d9333b3', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ed344bc4daeaf8de2d9333b3', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273ed344bc4daeaf8de2d9333b3,"['2vm8GdHyrJh2O2MfbQFYG0', '5ZsFI1h6hIdQRw2ti0hz81']",False,
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),2wMz3oVNS1bMXaEWY6QWmA,2018-08-10,67,201933,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273bb3df70b7531c9a5fb5d9974', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02bb3df70b7531c9a5fb5d9974', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851bb3df70b7531c9a5fb5d9974', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273bb3df70b7531c9a5fb5d9974,['7h4j9YTJJuAHzLCc3KCvYu'],False,
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Hold On,2EfmyRWheMtmVTCIsptsLi,2017-02-03,79,198853,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c60473419a4ce96822541181', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c60473419a4ce96822541181', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181,['5D3muNJhYYunbRkh3FKgX0'],False,
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,Days I Will Remember,7sGGGUDd6LjNoYOvVFiqj2,2018-04-20,0,214240,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273440fc1972291253a043a9724', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02440fc1972291253a043a9724', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851440fc1972291253a043a9724', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273440fc1972291253a043a9724,['5zeCSgiRyezbfLiGOpKAsR'],False,
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,1yOcLa4euMk9sV7rRJ89Dl,2014-01-20,71,229400,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273554488d0c51967b1654d8ce5', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02554488d0c51967b1654d8ce5', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851554488d0c51967b1654d8ce5', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273554488d0c51967b1654d8ce5,"['5xKp3UyavIBUsGy3DQdXeF', '1l7ZsJRRS8wlW3WfJfPfNS']",False,
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,2008-05-12,78,242946,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02125b1a330b6f6100ab19dbed', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851125b1a330b6f6100ab19dbed', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed,['4phGZZrJZRo4ElhRtViYdl'],False,
0IktbUcnAGrvD03AWnz3Q8,Lucky,"Jason Mraz, Colbie Caillat",We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,2008-05-12,69,189613,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02125b1a330b6f6100ab19dbed', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851125b1a330b6f6100ab19dbed', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed,"['4phGZZrJZRo4ElhRtViYdl', '6aZyMrc4doVtZyKNilOmwu']",False,
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,Hunger,4zLvvZhL4dcEBW2wKRf9H1,2015-04-21,54,205594,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eb8bf85ebc1bf4754d2c5f8b', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eb8bf85ebc1bf4754d2c5f8b', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eb8bf85ebc1bf4754d2c5f8b', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273eb8bf85ebc1bf4754d2c5f8b,['5nHR37FDSU4I0QQta0AZ1C'],False,
